id;kanji;jlpt;joyo_reading;reading;on;kun;on_trans;kun_trans
1515;悼;1;トウ、いた-む;;too;"grieve over";ita(mu);"grieve over"
1516;盗;3;トウ、ぬす-む;;too;thief;nusu(mu);"steal, rob, pilfer"
1517;陶;1;トウ;すえ;too;"porcelain, pottery";-;-
1518;塔;2;トウ;;too;"tower, pagoda, steeple, obelisk, monument";-;-
1519;搭;1;トウ;;too;"load (a vehicle); ride";-;-
1520;棟;1;トウ、むね、[むな];;too;"ridge, ridgepole; counter for buildings";"mune, [muna]";"ridge, ridgepole; counter for buildings"
1521;湯;2;トウ、ゆ;タン;too;"hot water";yu;"hot water, hot bath, hot spring"
1522;痘;1;トウ;;too;smallpox;-;-
1523;登;3;トウ、ト、のぼ-る;の;"too, 	to";"rise, ascend, go up, climb; go to (the capital); add up to; be promoted; advance (in price); sail up; come up (on the agenda) ";nobo(ru);"rise, ascend, go up, climb; go to (the capital); add up to; be promoted; advance (in price); sail up; come up (on the agenda) "
1524;答;4;トウ、こた-える、こた-え;;too;answer;"kota(eru), kota(e)";"answer; respond; solve. solution"
1525;等;3;トウ、ひと-しい;ら、ま;too;"class, grade, degree";hito(shii);"equal, similar, alike, equivalent"
1526;筒;2;トウ、つつ;;too;"pipette, tube";tsutsu;"pipe, tube, case, gun barrel, sleeve, well curb"
1527;統;1;トウ、す-べる;;too;"relationship; lineage; beginning";su(beru);"control, supervise, govern"
1528;稲;1;トウ、いね、[いな];;too;"rice plant";"ine, [ina]";"rice plant"
1529;踏;1;トウ、ふ-む、ふ-まえる;;too;"step on, trample on, stamp on; carry through, practice; appraise; set foot on; evade payment ";"fu(mu), fu(maeru)";"step on, trample on, stamp on; carry through, practice; appraise; set foot on; evade payment. stand on"
1530;糖;1;トウ;;too;sugar;-;-
1531;頭;3;トウ、ズ、[ト]、あたま、かしら;ジュウ、かみ、がみ;"too, zu, [to]";"head, counter for large mammals";"atama, kashira";"head; brain, mind, intellect; leader; top; head (of boil); idea; hair; point of view, consideration. leader, chief "
1532;謄;1;トウ;;too;copy;-;-
1533;藤;1;トウ、ふじ;;too;wisteria;fuji;wisteria
1534;闘;1;トウ、たたか-う;;too;fighting;tataka(u);"wage war; fight; engage in a contest; struggle against"
1535;騰;1;トウ;あ;too;"rising; price rise";-;-
1536;同;4;ドウ、おな-じ;;doo;"the same, the said, ibid";ona(ji);"same, identical, equal; uniform; equivalent; similar; common (origin); changeless"
1537;洞;1;ドウ、ほら;トウ;doo;cavity;hora;"cave, den, excavation"
1538;胴;1;ドウ;;doo;"torso, trunk (of a body); body armor; body (of a suit); drum (of a machine); barrel (of a horse); cylinder (of a drum); bulge (of a bucket); hull (of a ship); hub (of a wheel)";-;-
