id;kanji;jlpt;joyo_reading;reading;on;kun;on_trans;kun_trans
991;焦;1;ショウ、こ-げる、こ-がす、こ-がれる、あせ-る;;shoo;"burn, scorch, singe, char";"ko(geru), ko(gasu), ko(gareru), ase(ru)";"burn, scorch, singe, char. pine for. yearn for; be deeply in love with; be scorched. be in a hurry, be hasty, be impatient, be overzealous "
992;硝;1;ショウ;;shoo;saltpeter;-;-
993;粧;0;ショウ;よそお;shoo;"adorn (one's person)";-;-
994;詔;1;ショウ、みことのり;;shoo;"imperial edict";mikotonori;"imperial edict, decree"
995;証;1;ショウ;あかし、あか;shoo;"proof, evidence; certificate";-;-
996;象;2;ショウ、ゾウ;に;"shoo, 	zoo";"image; shape; sign (of the times). elephant";-;-
997;傷;1;ショウ、きず、いた-む、いた-める;;shoo;"wound, injury";"kizu, ita(mu), ita(meru)";"wound, injury, hurt; cut, gash, bruise, scratch; scar; weak point. feel a pain; be hurt, be damaged, be spoiled, be bruised, wear out, be worn out. injure, impair, spoil, worry, bother, afflict, cause pain"
998;奨;1;ショウ;すす;shoo;"urge, encourage";-;-
999;照;2;ショウ、て-る、て-らす、て-れる;;shoo;shine;"te(ru), te(rasu), te(reru)";"shine. shine on, shed light on, illuminate; compare with, be bashful"
1000;詳;1;ショウ、くわ-しい;;shoo;"full, detailed, minute, accurate; versed in, well-informed on";kuwa(shii);"full, detailed, minute, accurate; versed in, well-informed on"
1001;彰;1;ショウ;あき;shoo;clear;-;-
1002;障;1;ショウ、さわ-る;;shoo;"hinder, interfere with; affect, hurt, harm";sawa(ru);"hinder, interfere with; affect, hurt, harm"
1003;憧;1;ショウ、あこが-れる;ドウ;shoo;"yearn after, long for; thirst for; aspire to; admire, adore";akoga(reru);"yearn after, long for; thirst for; aspire to; admire, adore"
1004;衝;1;ショウ;つ、づ;shoo;"brunt; opposition (in astronomy); highway; collision; important point";-;-
1005;賞;2;ショウ;;shoo;"prize, reward, praise";-;-
1006;償;1;ショウ、つぐな-う;;shoo;"make up for, recompense, redeem (one's faults), compensate for, indemnify, atone for";tsugu(nau);"make up for, recompense, redeem (one's faults), compensate for, indemnify, atone for"
1007;礁;1;ショウ;;shoo;"sunken rock";-;-
1008;鐘;1;ショウ、かね;シュ;shoo;"bell, gong, chimes, carillon";kane;"bell, gong, chimes, carillon"
1009;上;5;ジョウ、[ショウ]、うえ、[うわ]、かみ、あ-げる、あ-がる、のぼ-る、のぼ-せる、のぼ-す;;"joo, [shoo]";"top; best; first volume. upper part; government. aboard a ship or vehicle; from the standpoint of; as a matter of (fact). governmental; imperial; best; high class; going up; presenting; showing";"ue, [uwa], kami, a(geru), a(garu), nobo(ru), nobo(seru), nobo(su)";"up, upper part, top, summit; surface; far better; higher; (in) authority; as far as…is concerned; besides; after; emperor, sovereign; upon (examination); influence of (liquor); lord, shogun; superior. rise, go up; climb up; advance, appreciate; be offered; accrue; be finished; (expenses) come to; go bankrupt; begin spinning (cocoons); be caught; get ruffled; eat, drink; die; weaken (as a battery); let up (rain). raise, elevate; fly (kites); praise; increase, promote, elevate; vomit; usher in, admit; send (to school); offer; present, leave with; finish; arrange (expenses); observe, perform; quote, mention, give (examples); bear (a child); improve (talents); do up (the hair); arrest; engage; fry; (rains) stop. ascend, climb; go to (the capital); add up to; be promoted; advance (in price); sail up; come up (on the agenda). record; bring up (a matter); serve (food); send some out (from Kyoto). head; upper part; upper stream; emperor; a superior; upper part of the body; the above. upward, outer"
1010;丈;0;ジョウ、たけ;;joo;"10 feet; length, measure; Mr. or Mrs. (re: artists)";take;"height, stature, length, measure"
1011;冗;1;ジョウ;;joo;uselessness;-;-
1012;条;2;ジョウ;;joo;"article, clause, item; line, stripe, streak; column (of smoke); ray (of light)";-;-
1013;状;3;ジョウ;;joo;"condition, circumstances; form, appearances; letter";-;-
1014;乗;3;ジョウ、の-る、の-せる;;joo;"power (in math); multiplication; record; vehicle; vehicle counter";"no(ru), no(seru)";"ride, board, mount; get up on; spread (paints); be taken in; share in, join; be found in (a dictionary); feel like doing; be mentioned in; be in harmony with. place, put, lay, set; let (one) take part; impose on; record, mention "
1015;城;2;ジョウ、しろ;セイ;joo;castle;shiro;"castle, citadel"
1016;浄;1;ジョウ;きよ;joo;"clean, clear; pure, innocent, noble";-;-
1017;剰;1;ジョウ;あま;joo;besides;-;-
1018;常;3;ジョウ、つね、とこ;;joo;"normal conditions, regular course of events; one's habit";"tsune, toko";"normal conditions, regular course of events; one's habit. ever-, endless "
1019;情;3;ジョウ、[セイ]、なさ-け;;"joo, [sei]";"feeling, emotion; passion; affection; heart; human nature; sympathy; sincerity; circumstances, facts; obstinacy";nasa(ke);"sympathy, compassion"
1020;場;4;ジョウ、ば;;joo;"place, grounds, links, range, course, track, ring";ba;"place, site; space, seat; scene; occasion, situation"
1021;畳;2;ジョウ、たた-む、たたみ;;joo;"mat counter";"tata(mu), tatami";"fold, fold up, furl, shut up, shut; wind up (affairs); do away with, kill; bear in mind. folding, collapsible "
1022;蒸;2;ジョウ、む-す、む-れる、む-らす;;joo;"steam, heat up (with steam); be close, be sultry; foment, poultice ";"mu(su), mu(reru), mu(rasu)";"steam, heat up (with steam); be close, be sultry; foment, poultice. be stuffy, get musty; moulder, heat. cook by steam "
1023;縄;1;ジョウ、なわ;;joo;"rope, cord";nawa;"rope, cord"
1024;壌;1;ジョウ;;joo;"earth, soil";-;-
1025;嬢;1;ジョウ;;joo;"girl, daughter, young lady; Miss.";-;-
1026;錠;1;ジョウ;;joo;"lock, padlock, latch; pill; close up, counter for pills";-;-
1027;譲;1;ジョウ、ゆず-る;;joo;"turn over, hand over, transfer, convey, assign, deed, bequeath, give away, give up; sell, dispose of; yield to; be inferior to; defer, postpone ";yuzu(ru);"turn over, hand over, transfer, convey, assign, deed, bequeath, give away, give up; sell, dispose of; yield to; be inferior to; defer, postpone "
1028;醸;1;ジョウ、かも-す;;joo;"brew, cause, give rise to";kamo(su);"brew, cause, give rise to"
1029;色;4;ショク、シキ、いろ;;"shoku, 	shiki";color;iro;"color, tint, tinge; complexion; countenance, look; sensual pleasure; sweetheart; charms; fall colors; embellishment; slight concession; kind"
1030;拭;0;ショク、ふ-く、ぬぐ-う;;shoku;"wipe, mop, swab";"fu(ku), nugu(u)";"wipe, mop, swab"
1031;食;5;ショク、[ジキ]、く-う、く-らう、た-べる;は;"shoku, [jiki]";"food, provisions; eating, meal; appetite";"ku(u), ku(rau), ta(beru)";"eat; subsist on; support oneself; consume; get (a scolding); encroach; bite at, gnaw at; (shoes) pinch; be cheated. drink; receive (a blow)"
1032;植;2;ショク、う-える、う-わる;;shoku;planting;"u(eru), u(waru)";"plant, set out, raise, sow; set type. be planted"
1033;殖;1;ショク、ふ-える、ふ-やす;;shoku;increase;"fu(eru), fu(yasu)";"increase, multiply, accrue; (water) rises. add to, raise, augment"
1034;飾;1;ショク、かざ-る;シキ;shoku;"ornament, decorate, adorn, embellish; exhibit, be ostentatious; whitewash";kaza(ru);"ornament, decorate, adorn, embellish; exhibit, be ostentatious; whitewash"
1035;触;2;ショク、ふ-れる、さわ-る;;shoku;touching;"fu(reru), sawa(ru)";"touch, feel, hit, strike, graze; announce, proclaim, mention, refer to; conflict with, be contrary to"
1036;嘱;1;ショク;;shoku;requesting;-;-
1037;織;1;ショク、シキ、お-る;;"shoku, 	shiki";weaveing;o(ru);weave
1038;職;3;ショク;;shoku;"employment, work, job, office";-;-
1039;辱;1;ジョク、はずかし-める;;joku;"humiliate, put to shame, disgrace, insult; rape, assault";hazukashi(meru);"humiliate, put to shame, disgrace, insult; rape, assault"
1040;尻;0;しり;;-;-;shiri;"buttocks, hips; rear or back of a person; bottom(of a kettle); tail end, tag end"
1041;心;4;シン、こころ;;shin;"heart, mind, spirit; motive, sense (of duty); padding; wick; core; marrow; vitality ";kokoro;"mind, spirit; mentality; idea, thought; heart, feeling; wholeheartedness, sincerity, sympathy; attention; interest, care; will; intention; taste, mood; true meaning (of a poem) "
1042;申;3;シン、もう-す;さる;shin;"have the honor to; say, tell, talk, speak, declare; call, term, name";moo(su);"have the honor to; say, tell, talk, speak, declare; call, term, name"
1043;伸;2;シン、の-びる、の-ばす、の-べる;;shin;stretching;"no(biru), no(basu), no(beru)";"extend, lengthen, stretch, spread; be postponed; increase; grow; progress, develop; be straightened, be flattened, be smoothed; be exhausted. let (nails) grow; straighten; uncoil; spread out; reach out; postpone; dilute; smooth out; develop (talents); amass (riches). make (a bed); widen "
1044;臣;2;シン、ジン;おみ;"shin, 	jin";"retainer, subject";-;-
1045;芯;0;シン;;shin;wick;-;-
1046;身;3;シン、み;;shin;"body; person; the quick; one's station in life; self; heart, soul, mind; ability; flesh, meat; life; blade; container; garment width ";mi;"body; person; the quick; one's station in life; self; heart, soul, mind; ability; flesh, meat; life; blade; container; garment width "
1047;辛;2;シン、から-い;つら、づら;shin;"H, eighth";kara(i);"hot, acrid, sharp; salty; bitter, trying; harsh, severe"
1048;侵;1;シン、おか-す;;shin;"invate, raid; violate, trespass, intrude on";oka(su);"invate, raid; violate, trespass, intrude on"
1049;信;3;シン;の;shin;"truth; faith, fidelity, sincerity; trust, confidence, reliance ";-;-
1050;津;1;シン、つ;;shin;"port, harbor; ferry";tsu;"port, harbor; ferry"
1051;神;3;シン、ジン、かみ、[かん]、[こう];;"shin, 	jin";"god, deity; mind, soul";"kami, [kan], [koo]";"God, god, Allah"
1052;唇;1;シン、くちびる;;shin;lip;kuchibiru;lip
1053;娠;1;シン;;shin;pregnancy;-;-
1054;振;1;シン、ふ-る、ふ-るう、ふ-れる;;shin;"wave, wag, swing, shake; sprinkle; brandish; jilt, reject; attach, allot";"fu(ru), fu(ruu), fu(reru)";"wave, wag, swing, shake; sprinkle; brandish; jilt, reject; attach, allot. lean toward, deflect, tend; shake, swing, oscillate. wield, be invigorated, be spirited, flourish "
1055;浸;1;シン、ひた-す、ひた-る;し;shin;"soak, dip, steep, immerse, moisten, wet, dunk, drench";"hita(su), hita(ru)";"soak, dip, steep, immerse, moisten, wet, dunk, drench. be soaked in, be immersed in, be flooded, be submerged; be bathed in; be addicted to "
1056;真;4;シン、ま;;shin;"truth; reality; genuineness; Buddhist sect originating in the thirteenth century";ma;"just, right, due (east); pure, genuine, true"
1057;針;2;シン、はり;;shin;needle;hari;"needle, pin; staple; fishhook; stinger; spine (of a fish); thorn; stitch; (watch) hand; (phonograph) needle; (hypodermic) needle; sting; molehill; acupuncture"
1058;深;3;シン、ふか-い、ふか-まる、ふか-める;み;shin;deep;"fuka(i), fuka(maru), fuka(meru)";"deep; thick, dense; profound, intense; intimate. deepen, heighten, intensity, strengthen "
1059;紳;1;シン;;shin;"good belt; gentleman";-;-
1060;進;3;シン、すす-む、すす-める;;shin;advancing;"susu(mu), susu(meru)";"advance, proceed, progress; be promoted; be in an advanced stage; (watches) gain; feel like (doing). move forward; set (watches) ahead; promote, elevate; stimulate; speed up; present "
1061;森;3;シン、もり;;shin;"woods, grove";mori;"woods, grove"
1062;診;1;シン、み-る;;shin;"seeing; diagnosing";mi(ru);"diagnose, examine"
1063;寝;3;シン、ね-る、ね-かす;;shin;"sleeping; resting; bed";"ne(ru), ne(kasu)";"sleep; retire; be bedridden; lie down; lie idle; remain unsold. put to sleep; send to bed; lay down, let lie idle"
1064;慎;1;シン、つつし-む;;shin;"be discreet, be careful, be prudent, be cautious; restrain oneself, be moderate";tsutsushi(mu);"be discreet, be careful, be prudent, be cautious; restrain oneself, be moderate"
1065;新;4;シン、あたら-しい、あら-た、にい;;shin;"newness, novelty. new, modern, novel, fresh, neo-";"atara(shii), ara(ta), nii";"new, novel, fresh, recent, modern"
1066;審;1;シン;つまび;shin;"hearing, trial, investigation";-;-
1067;震;2;シン、ふる-う、ふる-える;;shin;"shake, tremble, quiver, shiver, shudder; vibrate";"furu(u), furu(eru)";"shake, tremble, quiver, shiver, shudder; vibrate"
1068;薪;1;シン、たきぎ;;shin;firewood;takigi;"firewood, kindling, fuel"
1069;親;4;シン、おや、した-しい、した-しむ;ちか;shin;"intimacy; parents; relative";"oya, shita(shii), shita(shimu)";"parent; dealer (in card games); banker (in gambling). intimate, familiar, friendly. be intimate with; have a liking for; take habitually"
1070;人;5;ジン、ニン、ひと;;"jin, 	nin";"man, person, people";hito;"man, human being, mankind, person, people; character, personality; true man; man of talent; adult; other people; messenger; visitor"
1071;刃;1;ジン、は;ニン;jin;"blade, sword, cutting tool";ha;"blade, edge"
1072;仁;1;ジン、[ニ];ひと;"jin, [ni]";"virtue, benevolence, humanity, charity; man";-;-
1073;尽;1;ジン、つ-くす、つ-きる、つ-かす;ことごと;jin;"use up, run out of, exhaust; serve, befriend, work for, endeavor, do (one's duty). last day of the month";"tsu(kusu), tsu(kiru), tsu(kasu)";"use up, run out of, exhaust; serve, befriend, work for, endeavor, do (one's duty). become exhausted, be consumed, spend, end"
1074;迅;1;ジン;;jin;fast;-;-
1075;甚;1;ジン、はなは-だ、はなは-だしい;;jin;exceedingly;"hanaha(da), hanaha(dashii)";"very, greatly, exceedingly. extreme, excessive, intense, severe, serious"
1076;陣;1;ジン;;jin;"battle array, ranks; camp; position";-;-
1077;尋;1;ジン、たず-ねる;ひろ;jin;fathom;tazu(neru);"look for, inquire for, ask (someone) a question"
1078;腎;0;ジン;;jin;kidney;-;-
1079;須;1;ス;シュ;su;"by all means, necessarily";-;-
1080;図;4;ズ、ト、はか-る;;"zu, 	to";"drawing, plan, figure, cut, chart, diagram, illustration, graph";haka(ru);"measure, gauge, weigh; fathom, sound; compute, estimate; plan, devise, scheme; counsel with; have in mind; aim at; deceive, impose on"
1081;水;5;スイ、みず;;sui;"water; ice water; Wednesday";mizu;water
1082;吹;3;スイ、ふ-く;;sui;"breathe, blow; play (a wind instrument); emit; smelt; mint; brag ";fu(ku);"breathe, blow; play (a wind instrument); emit; smelt; mint; brag "
1083;垂;1;スイ、た-れる、た-らす;;sui;"suspend, hang down; slouch";"ta(reru), ta(rasu)";"suspend, hang down; slouch. hang, droop, drop, lower, pull down; dangle; sag; drip, ooze, trickle; leave behind (at death); give, confer "
1084;炊;1;スイ、た-く;かし;sui;"cook, boil";ta(ku);"cook, boil"
1085;帥;1;スイ;ソチ;sui;"leading (troops)";-;-
1086;粋;1;スイ、いき;;sui;"purity, essence, pith, cream, pick, elite, choice; elegance; fashion; taste; gracefulness; considerateness";iki;"chic, style"
1087;衰;1;スイ、おとろ-える;;sui;"decline, wane, weaken, abate, decay, wither, waste away";otoro(eru);"decline, wane, weaken, abate, decay, wither, waste away"
1088;推;1;スイ、お-す;;sui;conjecture;o(su);"infer, conclude; guess, suppose; recommend, support"
1089;酔;1;スイ、よ-う;;sui;"get drunk; feel sick; be poisoned; be elated, be spellbound";yo(u);"get drunk; feel sick; be poisoned; be elated, be spellbound"
1090;遂;1;スイ、と-げる;つい;sui;"accomplish, attain, commit (suicide)";to(geru);"accomplish, attain, commit (suicide)"
1091;睡;1;スイ;ねむ;sui;"sleep, die";-;-
1092;穂;1;スイ、ほ;;sui;"ear, head (of grain); crest (of waves)";ho;"ear, head (of grain); crest (of waves)"
1093;随;1;ズイ;したが;zui;"at the mercy of (the waves)";-;-
1094;髄;1;ズイ;;zui;"marrow, pith";-;-
1095;枢;1;スウ;とぼそ;suu;"pivot; door";-;-
1096;崇;1;スウ;シュウ、たか、あが;suu;high;-;-
1097;数;3;スウ、[ス]、かず、かぞ-える;ジュ;"suu, [su]";"strength; fate; law; numbers, figures; numerical";"kazu, kazo(eru)";"number, figure. count, calculate, enumerate"
1098;据;1;す-える、す-わる;;-;-;"su(eru), su(waru)";"set (a table); lay (a foundation); place (a gun); install, equip; appoint (to a position). squat down, sit down, (eyes) are fixed on"
1099;杉;1;すぎ;サン;-;-;sugi;"cryptomeria, sugi, Japan cedar"
1100;裾;0;すそ;;-;-;suso;"cuff(of trousers); hem (of a skirt); foot (of a mountain)"
1101;寸;1;スン;;sun;"one-tenth of a foot; measure";-;-
1102;瀬;1;せ;;-;-;se;"current, torrent, rapids, shallows, shoal"
1103;是;1;ゼ;こ;ze;"right, justice";-;-
1104;井;1;セイ、[ショウ]、い;;"sei, [shoo]";well;i;well
1105;世;4;セイ、セ、よ;;"sei, 	se";"generation; world. age, counter for kings of the same name";yo;"world, society, public; life, existence, career, life-time; age, era, generation, times; reign"
1106;正;4;セイ、ショウ、ただ-しい、ただ-す、まさ;;"sei, 	shoo";"right, righteousness, justice; original; plus, positive; genuine. just; punctual; senior. Regular";"tada(shii), tada(su), masa";"correct; adjust; reform; redress, straighten; amend. right, righteous, just; honest, truthful, proper, lawful; healthy; moral; straight; straightforward; perfect "
1107;生;5;セイ、ショウ、い-きる、い-かす、い-ける、う-まれる、う-む、お-う、は-える、は-やす、き、なま;な;"sei, 	shoo";"birth; life, existence, living; subsistence; student ";"i(kiru), i(kasu), i(keru), u(mareru), u(mu), o(u), ha(eru), ha(yasu), ki, nama";"grow, spring up; cut (teeth). cultivate, wear (a beard). revive, resuscitate; restore to life; let live, spare a life; make the most of; give life to; stet. keep alive; arrange flowers (in a vase); living. live, subsist, exist; be enlivened; be safe (on first). be born. bear, give birth to, breed, spawn; produce, yield (interest). raw, uncooked, fresh; unripe; half-boiled; rare; hard cash; impertinent, conceited; inexperienced; (beer) on tap; crude (rubber), unprocessed. pure, undiluted, genuine; raw, crude "
1108;成;3;セイ、[ジョウ]、な-る、な-す;;"sei, [joo]";"become, get or grow (old), form (a part of); set in, come (time or seasons); turn into; be reduced to; consist of; be accomplished; result in; prove (fatal); amount to; play the part of; elapse; reach (a certain age); bear, stand; be promoted; be pleased to ";"na(ru), na(su)";"become, get or grow (old), form (a part of); set in, come (time or seasons); turn into; be reduced to; consist of; be accomplished; result in; prove (fatal); amount to; play the part of; elapse; reach (a certain age); bear, stand; be promoted; be pleased to. do, perform, accomplish; form, make"
1109;西;5;セイ、サイ、にし;;"sei, 	sai";west;nishi;west
1110;声;3;セイ、[ショウ]、こえ、[こわ];;"sei, [shoo]";"voice; tone; alarm, cry; (bird) song, chirp";"koe, [kowa]";"voice; tone; alarm, cry; (bird) song, chirp"
1111;制;3;セイ;;sei;"system, organization; imperial command; laws, regulation. control, govern, suppress, restrain, hold back; establish ";-;-
1112;姓;2;セイ、ショウ;;"sei, 	shoo";"surname, family name";-;-
1113;征;1;セイ;い、ゆ;sei;"attack the rebellious; collect taxes";-;-
1114;性;3;セイ、ショウ;;"sei, 	shoo";"sex, gender; nature, attribute. deposition; quality; purity";-;-
1115;青;4;セイ、[ショウ]、あお、あお-い;;"sei, [shoo]";"blue, green; green light";"ao, ao(i)";"blue, green; green light, pale; unripe, green"
1116;斉;1;セイ;ザイ、ひと;sei;"equal, similar";-;-
1117;政;3;セイ、[ショウ]、まつりごと;ただ;"sei, [shoo]";"government, rule";matsurigoto;"government, rule"
1118;星;2;セイ、[ショウ]、ほし;;"sei, [shoo]";star;hoshi;"star; spot, dot, mark; bull's eye; one's fortune; point, score"
1119;牲;1;セイ;;sei;"sacrifice, offering, gift";-;-
1120;省;2;セイ、ショウ、かえり-みる、はぶ-く;;"sei, 	shoo";"ministry, department; province (in China)";"kaeri(miru), habu(ku)";"look back; turn around, look back upon, review; examine oneself; take notice of. omit, eliminate; curtail, economize"
1121;凄;0;セイ;すさ、すご;sei;threaten;-;-
1122;逝;1;セイ、ゆ-く、い-く;;sei;"die, pass away";"yu(ku), i(ku)";"die, pass away"
1123;清;2;セイ、[ショウ]、きよ-い、きよ-まる、きよ-める;シン、すず、す;"sei, [shoo]";"China, Manchu (dynasty)";"kiyo(i), kiyo(maru), kiyo(meru)";"purify, cleanse; consecrate; exorcise. be purified, be cleaned. clean, clear; pure, innocent; noble "
1124;盛;1;セイ、[ジョウ]、も-る、さか-る、さか-ん;;"sei, [joo]";"prosper, flourish; copulate (animals)";"mo(ru), saka(ru), saka(n)";"serve, fill; heap up; prescribe or give (medicine); poison; mark out, graduate. prosperous; successful (meeting); energetic; enthusiastic; popular; furious (attack); keen (competition); extensive, large"
1125;婿;1;セイ、むこ;;sei;son-in-law;muko;son-in-law
1126;晴;3;セイ、は-れる、は-らす;;sei;"clear up, (doubts) vanish, be refreshed";"ha(reru), ha(rasu)";"clear up; (doubts) vanish; be refreshed. dispel, clear away (gloom); refresh (oneself)"
1127;勢;2;セイ、いきお-い;セ、ゼ;sei;"energy; military strength";ikio(i);"force, vigor, energy, spirit, life; authority, influence, power, might; impetus; course (of events), tendency; necessarily"
1128;聖;1;セイ;ショウ、ひじり;sei;"saint; sage; great master; holiness";-;-
1129;誠;1;セイ、まこと;ジョウ;sei;"admonish, warn; prohibit";makoto;"sincerity, honesty, fidelity; truth"
1130;精;3;セイ、[ショウ];くわ;"sei, [shoo]";"spirit, ghost, fairy; energy, vitality; white rice; details; excellence; purity; skill ";-;-
1131;製;1;セイ;;sei;"make, manufacture";-;-
1132;誓;1;セイ、ちか-う;;sei;"swear, plegde, vow";chika(u);"swear, plegde, vow"
1133;静;3;セイ、[ジョウ]、しず、しず-か、しず-まる、しず-める;;"sei, [joo]";"quiet, peace, inactivity";"shizu, shizu(ka), shizu(maru), shizu(meru)";"get quiet, calm down, grow still; subside, die down, be suppressed. calm, pacify; soothe, alleviate; appease; suppress, quell. quiet, still, silent; placid; serene, peaceful; soft (rain); gentle (voice); graceful; slow (walk); deserted"
1134;請;1;セイ、[シン]、こ-う、う-ける;ショウ、ジョウ;"sei, [shin]";"requesting, inviting";"ko(u), u(keru)";"ask, request; invite; pray for; beg, solicit. receive, accept, take, get, obtain; face, front of, inherit; catch the public's fancy "
1135;整;2;セイ、ととの-える、ととの-う;;sei;arranging;"totono(eru), totono(u)";"prepare, arrange; fill (orders); supply; raise (money); put in order, tidy up, adjust (clothes); regulate; settle; purchase. be prepared, be arranged, be in order, be adjusted, be well regulated; be settled "
1136;醒;0;セイ;さ、ざ;sei;"awake; be disillusioned; sober up";-;-
1137;税;2;ゼイ;;zei;"tax, duty";-;-
1138;夕;4;セキ、ゆう;;seki;evening;yuu;evening
1139;斥;1;セキ;しりぞ;seki;"retreat, recede, withdraw";-;-
1140;石;3;セキ、[シャク]、[コク]、いし;;"seki, [shaku], [koku]";"stone, pebble, rock; jewel; the go playing stones. 4.96 bushels; 10 cubic feet (of lumber)";ishi;"stone, pebble, rock; jewel; the go playing stones"
1141;赤;4;セキ、[シャク]、あか、あか-い、あか-らむ、あか-らめる;;"seki, [shaku]";"red, crimson, scarlet";"aka, aka(i), aka(ramu), aka(rameru)";"red, crimson, scarlet, Communist, Red. become red. blush, redden"
1142;昔;3;セキ、[シャク]、むかし;;"seki, [shaku]";"antiquity, old times";mukashi;"antiquity, old times"
1143;析;1;セキ;;seki;"divide; tear; analyze";-;-
1144;席;3;セキ;し;seki;"seat; mat; a place, room, occasion";-;-
1145;脊;0;セキ;せ;seki;"stature, height";-;-
1146;隻;1;セキ;;seki;"counter for ships, fish, birds, arrows, etc., and one of a pair";-;-
1147;惜;1;セキ、お-しい、お-しむ;シャク;seki;"be sparing of; be frugal with; be stingy with; regret; value, prize; be reluctant ";"o(shii), o(shimu)";"be sparing of; be frugal with; be stingy with; regret; value, prize; be reluctant. regrettable, pitiful, disappointing; precious; wasteful"
1148;戚;0;セキ;;seki;"relative, sadness";-;-
1149;責;3;セキ、せ-める;シャク;seki;"condemn, blame, censure, criticize, take to task; torture, persecute; urge, tease (to do something) ";se(meru);"condemn, blame, censure, criticize, take to task; torture, persecute; urge, tease (to do something) "
1150;跡;1;セキ、あと;;seki;"mark, print, impression; trace, track, trail; wake; marks, traces, evidence; scar; ruins, precedent";ato;"mark, print, impression; trace, track, trail; wake; marks, traces, evidence; scar; ruins, precedent"
1151;積;3;セキ、つ-む、つ-もる;シャク;seki;"product (in math); acreage, contents, measurement";"tsu(mu), tsu(moru)";"pile up, stack, lay; load, ship, take on; accumulate, amass, save. be piled up, be amassed; lie on, be covered (with snow); amount to; estimate, calculate, measure "
1152;績;2;セキ;う;seki;"exploits, unreeling cocoons";-;-
1153;籍;1;セキ;;seki;"domiciliary register; membership";-;-
1154;切;4;セツ、[サイ]、き-る、き-れる;;"setsu, [sai]";"cut, chop, hash; carve; saw; clip, shear; slice, strip; fell, cut down; punch; sever (connections); pause, break off; disconnect, turn off; hang up; cross (a street); discount, sell below cost; shake (water) off";"ki(ru), ki(reru)";"cut, chop, hash; carve; saw; clip, shear; slice, strip; fell, cut down; punch; sever (connections); pause, break off; disconnect, turn off; hang up; cross (a street); discount, sell below cost; shake (water) off. cut well, be sharp; break, snap; wear out; be injured; burst, collapse; break off, be disconnected; be out of; expire; sever (connections) with; sharp, shrewd; less than "
1155;折;3;セツ、お-る、おり、お-れる;;setsu;"break, snap, fracture, knock out (teeth); fold, turn down; bend; make (a paper toy); yield (oneself), give in";"o(ru), ori, o(reru)";"break, snap, fracture, knock out (teeth); fold, turn down; bend; make (a paper toy); yield (oneself), give in. breaking; small food box; time, occasion, juncture; opportunity. snap, break; be folded; submit; turn (to the left or right)"
1156;拙;1;セツ、つたな-い;;setsu;"clumsy, unskillful";tsutana(i);"clumsy, bungling, unskillful"
1157;窃;1;セツ;;setsu;steal;-;-
1158;接;2;セツ、つ-ぐ;;setsu;"touch, contact; adjoin; receive (visitors); be in receipt of; encounter, experience; draw near ";tsu(gu);"join, piece together, splice, cement, set (broken bones); graft (trees)"
1159;設;2;セツ、もう-ける;;setsu;"prepare, provide; establish, found, set up, organize; enact, lay down (rules); get (a child)";moo(keru);"prepare, provide; establish, found, set up, organize; enact, lay down (rules); get (a child)"
1160;雪;3;セツ、ゆき;そそ;setsu;"snow, snowfall";yuki;"snow, snowfall"
1161;摂;1;セツ;と;setsu;"act in place of; carry on in addition to";-;-
1162;節;2;セツ、[セチ]、ふし;;"setsu, [sechi]";"season, period, occasion, time; verse, clause, paragraph, section, stanza; integrity, honor";fushi;"joint, knuckle; knob, lump, knot; tune, melody; point (in a talk)"
1163;説;3;セツ、[ゼイ]、と-く;;"setsu, [zei]";"opinion, view, assertion; comment; theory; rumor, report; version  ";to(ku);"explain, expound, advocate, preach, teach, persuade"
1164;舌;1;ゼツ、した;;zetsu;"tongue; reed; clapper";shita;"tongue; reed; clapper"
1165;絶;3;ゼツ、た-える、た-やす、た-つ;;zetsu;"be beyond (words)";"ta(eru), ta(yasu), ta(tsu)";"become extinct, die out, discontinue, end, fail, peter out. exterminate, root out; run out of (stock); let (a fire) go out. sever, cut off; shut off, interrupt; abstain from; eradicate; suppress"
1166;千;5;セン、ち;;sen;"thousand, many";chi;"thousand, many"
1167;川;5;セン、かわ;;sen;"river, stream, brook";kawa;"river, stream, brook"
1168;仙;1;セン;;sen;"hermit, wizard";-;-
1169;占;2;セン、し-める、うらな-う;;sen;"occupy, hold, have, get, take (a seat)";"shi(meru), urana(u)";"occupy, hold, have, get, take (a seat). divine, forecast, augur "
1170;先;5;セン、さき;ま;sen;"the future; priority, precedence";saki;"point, tip, end; nozzle; head (of a line); the first priority; the future; objective, destination; sequel, remainder; the other party; future "
1171;宣;1;セン;のたま、の;sen;"be pleased to say, say";-;-
1172;専;2;セン、もっぱ-ら;;sen;"mainly, sorely, ";moppa(ra);"mainly, sorely, "
1173;泉;2;セン、いずみ;;sen;"spring, fountain (head), source";izumi;"spring, fountain (head), source"
1174;浅;2;セン、あさ-い;;sen;"shallow; superficial; short (time); slight (connection); pale, light (color)";asa(i);"shallow; superficial; short (time); slight (connection); pale, light (color)"
1175;洗;3;セン、あら-う;;sen;"wash; inquire into, probe ";ara(u);"wash, inquire into, probe"
